order_id,customer_id,payment_date,amount,payment_method,payment_status,transaction_id
O000060,C0260,2025-12-15,7122.15,Card,Paid,TXN0000060
O000061,C0125,2026-06-20,4748.1,Card,Paid,TXN0000061
O000062,C0082,2026-01-13,6298.2,COD,Paid,TXN0000062
O000063,C0283,2026-07-12,5997.6,COD,Paid,TXN0000063
O000064,C0171,2026-06-11,1797.0,Net Banking,Paid,TXN0000064
O000065,C0059,2025-06-02,2798.0,UPI,Failed,TXN0000065
O000066,C0032,2025-07-25,799.0,UPI,Paid,TXN0000066
O000067,C0161,2026-03-31,8496.6,Net Banking,Paid,TXN0000067
O000068,C0284,2025-09-30,2374.05,Card,Paid,TXN0000068
O000069,C0106,2025-08-24,3897.0,Card,Paid,TXN0000069
O000070,C0105,2026-06-05,1518.1,UPI,Paid,TXN0000070
O000071,C0439,2026-05-16,1078.2,UPI,Paid,TXN0000071
O000072,C0228,2025-04-27,8276.4,UPI,Failed,TXN0000072
O000073,C0188,2026-01-21,1798.2,Card,Paid,TXN0000073
O000074,C0070,2025-12-10,3036.2,UPI,Paid,TXN0000074
O000075,C0318,2026-08-07,2374.05,Card,Paid,TXN0000075
O000076,C0464,2026-01-30,1799.0,Card,Paid,TXN0000076
O000077,C0290,2025-03-05,4598.0,UPI,Paid,TXN0000077
O000078,C0087,2025-03-13,3798.1,UPI,Paid,TXN0000078
O000079,C0370,2025-10-01,9972.15,UPI,Paid,TXN0000079
O000080,C0362,2025-11-16,2157.3,UPI,Failed,TXN0000080
O000081,C0472,2025-12-04,2598.0,UPI,Paid,TXN0000081
O000082,C0056,2026-01-01,6998.0,UPI,Paid,TXN0000082
O000083,C0113,2026-05-10,7649.15,Card,Paid,TXN0000083
O000084,C0013,2025-06-15,4498.2,Card,Paid,TXN0000084
O000085,C0440,2026-06-28,2157.3,UPI,Paid,TXN0000085
O000086,C0018,2025-01-11,1359.15,Card,Paid,TXN0000086
O000087,C0182,2025-10-28,6836.2,COD,Failed,TXN0000087
O000088,C0461,2025-04-12,3312.45,Card,Paid,TXN0000088
O000089,C0113,2026-03-01,9447.3,UPI,Paid,TXN0000089
O000090,C0229,2026-01-27,2499.0,Card,Paid,TXN0000090
O000091,C0171,2025-08-02,6076.2,Card,Paid,TXN0000091
O000092,C0295,2025-03-29,4557.15,Net Banking,Paid,TXN0000092
O000093,C0189,2026-07-07,17098.1,Net Banking,Paid,TXN0000093
O000094,C0426,2026-02-05,6552.15,UPI,Paid,TXN0000094
O000095,C0465,2026-08-11,1709.05,Card,Paid,TXN0000095
O000096,C0079,2025-02-15,999.0,COD,Paid,TXN0000096
O000097,C0146,2026-04-08,1799.0,COD,Paid,TXN0000097
O000098,C0407,2025-11-06,26997.0,Card,Failed,TXN0000098
O000099,C0182,2025-03-27,5596.0,UPI,Paid,TXN0000099
O000100,C0499,2025-04-02,1138.1,UPI,Paid,TXN0000100
O000101,C0286,2025-08-30,2069.1,Card,Paid,TXN0000101
O000102,C0250,2025-01-02,5196.0,Card,Failed,TXN0000102
O000103,C0354,2025-08-13,1358.3,Net Banking,Paid,TXN0000103
O000104,C0314,2026-08-12,1954.15,COD,Paid,TXN0000104
O000105,C0196,2025-04-26,16198.2,UPI,Paid,TXN0000105
O000106,C0323,2025-04-13,16198.2,Card,Paid,TXN0000106
O000107,C0071,2025-07-13,4936.2,UPI,Paid,TXN0000107
O000108,C0248,2025-06-15,2598.0,Card,Paid,TXN0000108
O000109,C0146,2025-03-31,1039.2,Card,Failed,TXN0000109
O000110,C0106,2025-05-02,9196.0,UPI,Paid,TXN0000110
O000111,C0263,2025-05-23,1437.6,UPI,Paid,TXN0000111
O000112,C0296,2025-04-16,6747.3,UPI,Paid,TXN0000112
O000113,C0070,2026-03-04,13296.2,UPI,Paid,TXN0000113
O000114,C0470,2025-11-01,5697.15,COD,Paid,TXN0000114
O000115,C0193,2025-11-13,2338.2,UPI,Failed,TXN0000115
O000116,C0068,2025-01-09,3499.0,UPI,Paid,TXN0000116
O000117,C0494,2025-03-14,1138.1,UPI,Paid,TXN0000117
O000118,C0305,2025-12-25,7196.4,COD,Paid,TXN0000118
O000119,C0052,2025-08-11,2069.1,UPI,Paid,TXN0000119
O000120,C0370,2026-02-20,13996.0,UPI,Paid,TXN0000120
O000121,C0363,2026-07-07,4936.2,Card,Paid,TXN0000121
O000122,C0285,2026-01-05,3396.6,UPI,Paid,TXN0000122
O000123,C0405,2025-09-21,16198.2,UPI,Paid,TXN0000123
O000124,C0474,2025-11-14,719.1,Card,Paid,TXN0000124
O000125,C0334,2025-03-25,639.2,UPI,Paid,TXN0000125
O000126,C0009,2025-11-14,3324.05,COD,Paid,TXN0000126
O000127,C0251,2025-04-21,1518.1,Card,Pending,TXN0000127
O000128,C0431,2025-09-08,4077.45,Card,Paid,TXN0000128
O000129,C0332,2026-01-18,2718.3,UPI,Paid,TXN0000129
O000130,C0298,2025-01-07,6648.1,COD,Paid,TXN0000130
O000131,C0435,2026-04-04,5196.0,Card,Paid,TXN0000131
O000132,C0184,2025-03-25,1619.1,UPI,Paid,TXN0000132
O000133,C0179,2025-07-27,1234.05,UPI,Paid,TXN0000133
O000134,C0198,2026-01-25,5517.6,Card,Paid,TXN0000134
O000135,C0128,2025-11-10,3897.0,COD,Paid,TXN0000135
O000136,C0020,2025-01-22,8736.2,Net Banking,Paid,TXN0000136
O000137,C0472,2026-02-14,1799.0,Card,Paid,TXN0000137
O000138,C0411,2026-05-30,2697.3,Card,Paid,TXN0000138
O000139,C0422,2025-05-07,5862.45,UPI,Paid,TXN0000139
O000140,C0328,2025-01-14,1259.1,Card,Paid,TXN0000140
O000141,C0065,2025-01-12,2558.4,Net Banking,Paid,TXN0000141
O000142,C0182,2025-03-28,26997.0,Card,Paid,TXN0000142
O000143,C0241,2026-06-08,1599.0,UPI,Paid,TXN0000143
O000144,C0369,2026-06-21,5862.45,UPI,Paid,TXN0000144
O000145,C0024,2025-10-28,4756.6,UPI,Paid,TXN0000145
O000146,C0384,2025-08-31,6372.45,Card,Paid,TXN0000146
O000147,C0431,2025-05-02,849.15,Net Banking,Paid,TXN0000147
O000148,C0455,2025-05-27,2847.15,UPI,Paid,TXN0000148
O000149,C0083,2026-07-21,9996.0,UPI,Paid,TXN0000149
O000150,C0470,2025-12-22,28796.8,Card,Paid,TXN0000150
O000151,C0319,2025-11-05,2277.15,COD,Paid,TXN0000151
O000152,C0185,2025-10-15,5127.15,UPI,Paid,TXN0000152
O000153,C0439,2025-11-03,7196.4,UPI,Paid,TXN0000153
O000154,C0316,2026-07-03,3036.2,UPI,Paid,TXN0000154
O000155,C0099,2025-12-18,2378.3,Card,Paid,TXN0000155
O000156,C0062,2025-11-08,4598.0,COD,Failed,TXN0000156
O000157,C0286,2025-02-28,6796.6,UPI,Paid,TXN0000157
O000158,C0477,2025-02-04,24297.3,Card,Paid,TXN0000158
O000159,C0022,2026-03-21,1619.1,Card,Paid,TXN0000159
O000160,C0459,2025-04-03,2847.15,Card,Paid,TXN0000160
O000161,C0212,2025-07-26,6552.15,UPI,Paid,TXN0000161
O000162,C0126,2025-12-19,4368.1,Net Banking,Paid,TXN0000162
O000163,C0413,2025-11-28,3418.1,Card,Paid,TXN0000163
O000164,C0499,2025-06-08,2878.2,Card,Paid,TXN0000164
O000165,C0425,2025-01-24,5316.2,Card,Paid,TXN0000165
O000166,C0042,2026-02-08,7196.0,Net Banking,Paid,TXN0000166
O000167,C0098,2026-05-31,3897.0,Card,Pending,TXN0000167
O000168,C0449,2025-12-30,3507.3,Card,Paid,TXN0000168
O000169,C0031,2026-01-17,1799.0,UPI,Paid,TXN0000169
O000170,C0158,2026-06-16,1527.45,UPI,Paid,TXN0000170
O000171,C0112,2025-06-01,2697.3,UPI,Pending,TXN0000171
O000172,C0402,2026-07-16,3058.3,Net Banking,Paid,TXN0000172
O000173,C0247,2026-02-24,5948.3,COD,Paid,TXN0000173
O000174,C0122,2025-09-07,17998.0,UPI,Paid,TXN0000174
O000175,C0273,2025-04-27,2208.3,UPI,Paid,TXN0000175
O000176,C0294,2026-05-27,3598.2,UPI,Paid,TXN0000176
O000177,C0398,2026-08-01,679.15,COD,Paid,TXN0000177
O000178,C0471,2025-12-01,1529.15,UPI,Paid,TXN0000178
O000179,C0473,2026-02-22,1299.0,Card,Paid,TXN0000179
O000180,C0207,2025-10-22,17098.1,COD,Paid,TXN0000180
O000181,C0110,2026-01-06,32396.4,UPI,Paid,TXN0000181
O000182,C0440,2025-07-05,3598.2,COD,Paid,TXN0000182
O000183,C0278,2025-09-03,4368.1,Card,Paid,TXN0000183
O000184,C0451,2025-09-25,569.05,Card,Paid,TXN0000184
O000185,C0056,2025-08-25,6648.1,Card,Paid,TXN0000185
O000186,C0375,2026-06-14,1619.1,UPI,Paid,TXN0000186
O000187,C0403,2026-07-06,3998.4,Net Banking,Paid,TXN0000187
O000188,C0057,2025-01-21,4587.45,Card,Paid,TXN0000188
O000189,C0428,2026-06-04,8736.2,UPI,Paid,TXN0000189
O000190,C0482,2025-04-10,5596.0,UPI,Paid,TXN0000190
O000191,C0291,2026-04-23,1599.0,UPI,Paid,TXN0000191
O000192,C0114,2025-10-25,2847.15,Card,Paid,TXN0000192
O000193,C0381,2026-06-10,7816.6,UPI,Paid,TXN0000193
O000194,C0385,2025-11-30,759.05,COD,Paid,TXN0000194
O000195,C0308,2025-01-02,16198.2,UPI,Pending,TXN0000195
O000196,C0341,2026-01-10,1018.3,UPI,Paid,TXN0000196
O000197,C0477,2025-10-20,5997.6,COD,Paid,TXN0000197
O000198,C0198,2026-07-07,3996.0,Card,Paid,TXN0000198
O000199,C0421,2025-11-14,2598.0,COD,Paid,TXN0000199
O000200,C0321,2026-05-17,759.05,Card,Paid,TXN0000200
O000201,C0179,2026-01-16,3238.2,UPI,Paid,TXN0000201
O000202,C0385,2025-01-14,1598.4,Card,Paid,TXN0000202
O000203,C0219,2026-05-19,5196.0,UPI,Paid,TXN0000203
O000204,C0277,2025-08-19,6396.0,UPI,Failed,TXN0000204
O000205,C0437,2025-03-25,1104.15,UPI,Paid,TXN0000205
O000206,C0016,2025-05-10,6747.3,Card,Paid,TXN0000206
O000207,C0492,2025-05-25,21597.6,UPI,Paid,TXN0000207
O000208,C0379,2025-01-28,4368.1,UPI,Paid,TXN0000208
O000209,C0061,2025-03-07,1899.05,UPI,Paid,TXN0000209
O000210,C0054,2025-06-12,6897.0,UPI,Paid,TXN0000210
O000211,C0168,2025-08-17,6897.0,UPI,Paid,TXN0000211
O000212,C0026,2025-09-18,2338.2,UPI,Paid,TXN0000212
O000213,C0336,2026-03-25,1709.05,UPI,Paid,TXN0000213
O000214,C0476,2026-02-28,2997.0,UPI,Paid,TXN0000214
O000215,C0065,2026-04-05,6796.6,UPI,Paid,TXN0000215
O000216,C0100,2025-10-28,2396.0,COD,Paid,TXN0000216
O000217,C0074,2025-10-30,3598.2,Card,Paid,TXN0000217
O000218,C0192,2025-10-14,1898.1,Card,Paid,TXN0000218
O000219,C0171,2026-01-30,1698.3,COD,Paid,TXN0000219
O000220,C0273,2025-01-10,1198.0,UPI,Paid,TXN0000220
O000221,C0377,2025-09-27,22947.45,UPI,Paid,TXN0000221
O000222,C0187,2025-12-27,2499.0,COD,Paid,TXN0000222
O000223,C0023,2025-09-14,3038.1,Card,Paid,TXN0000223
O000224,C0391,2025-05-13,4498.2,Net Banking,Paid,TXN0000224
O000225,C0428,2025-10-03,2997.0,Net Banking,Paid,TXN0000225
O000226,C0181,2026-05-28,3418.1,UPI,Paid,TXN0000226
O000227,C0327,2025-11-09,5948.3,Net Banking,Paid,TXN0000227
O000228,C0108,2026-07-30,509.15,Net Banking,Paid,TXN0000228
O000229,C0335,2025-10-11,13996.0,UPI,Paid,TXN0000229
O000230,C0162,2025-05-01,1598.0,Net Banking,Paid,TXN0000230
O000231,C0302,2025-04-17,4797.0,UPI,Paid,TXN0000231
O000232,C0493,2025-07-23,999.0,Card,Paid,TXN0000232
O000233,C0452,2025-06-14,8397.6,UPI,Paid,TXN0000233
O000234,C0206,2025-11-01,719.1,UPI,Paid,TXN0000234
O000235,C0078,2026-05-12,1519.05,Card,Paid,TXN0000235
O000236,C0016,2026-07-10,3198.4,UPI,Paid,TXN0000236
O000237,C0327,2025-06-05,2878.2,Card,Failed,TXN0000237
O000238,C0096,2026-01-02,1438.2,Card,Paid,TXN0000238
O000239,C0147,2025-09-08,2276.2,UPI,Failed,TXN0000239
O000240,C0002,2025-11-30,7596.2,UPI,Paid,TXN0000240
O000241,C0010,2026-05-26,24297.3,Card,Failed,TXN0000241
O000242,C0434,2025-10-20,1198.0,COD,Paid,TXN0000242
O000243,C0125,2025-01-20,3036.2,Card,Paid,TXN0000243
O000244,C0081,2025-10-09,6998.0,Card,Failed,TXN0000244
O000245,C0485,2025-01-01,6396.0,Card,Paid,TXN0000245
O000246,C0140,2025-04-29,5756.4,UPI,Paid,TXN0000246
O000247,C0326,2025-02-04,539.1,Card,Paid,TXN0000247
O000248,C0150,2025-07-17,3038.1,Net Banking,Paid,TXN0000248
O000249,C0288,2026-04-30,1518.1,COD,Paid,TXN0000249
O000250,C0361,2025-02-28,6476.4,Card,Paid,TXN0000250
O000251,C0340,2025-06-10,3198.0,Card,Paid,TXN0000251
O000252,C0129,2025-07-25,2156.4,Card,Paid,TXN0000252
O000253,C0438,2025-01-12,3058.3,Card,Failed,TXN0000253
O000254,C0239,2026-05-05,2299.0,Card,Paid,TXN0000254
O000255,C0058,2025-10-03,15298.3,Card,Paid,TXN0000255
O000256,C0198,2025-08-30,1954.15,UPI,Paid,TXN0000256
O000257,C0211,2025-08-04,4197.0,UPI,Paid,TXN0000257
O000258,C0402,2025-09-08,1198.0,COD,Paid,TXN0000258
O000259,C0390,2025-05-06,3678.4,UPI,Paid,TXN0000259
O000260,C0045,2025-08-05,1998.0,Net Banking,Paid,TXN0000260
O000261,C0097,2025-11-02,1699.15,UPI,Paid,TXN0000261
O000262,C0279,2025-07-04,1798.2,UPI,Paid,TXN0000262
O000263,C0023,2025-02-08,4748.1,Card,Paid,TXN0000263
O000264,C0410,2025-08-11,9196.0,COD,Paid,TXN0000264
O000265,C0461,2025-07-03,1707.15,Card,Paid,TXN0000265
O000266,C0391,2026-05-10,3324.05,UPI,Paid,TXN0000266
O000267,C0335,2026-03-03,4676.4,UPI,Paid,TXN0000267
O000268,C0044,2025-06-27,1839.2,Card,Paid,TXN0000268
O000269,C0027,2026-03-04,30596.6,UPI,Paid,TXN0000269
O000270,C0282,2025-10-21,6552.15,Card,Paid,TXN0000270
O000271,C0097,2025-05-31,6116.6,Card,Paid,TXN0000271
O000272,C0463,2026-01-19,2124.15,Card,Pending,TXN0000272
O000273,C0036,2025-11-04,2558.4,UPI,Failed,TXN0000273
O000274,C0109,2025-12-02,4748.1,UPI,Paid,TXN0000274
O000275,C0055,2026-01-10,6372.45,UPI,Paid,TXN0000275
O000276,C0192,2025-01-08,1799.1,UPI,Paid,TXN0000276
O000277,C0219,2025-12-07,759.05,Card,Paid,TXN0000277
O000278,C0185,2025-05-09,1039.2,COD,Paid,TXN0000278
O000279,C0069,2025-12-18,7497.0,UPI,Paid,TXN0000279
O000280,C0317,2025-12-24,1598.0,UPI,Paid,TXN0000280
O000281,C0130,2026-06-01,6796.6,UPI,Paid,TXN0000281
O000282,C0055,2026-05-10,4797.0,COD,Paid,TXN0000282
O000283,C0378,2025-03-27,3396.6,UPI,Paid,TXN0000283
O000284,C0097,2025-06-24,1078.2,Net Banking,Paid,TXN0000284
O000285,C0336,2025-07-12,4797.0,UPI,Paid,TXN0000285
O000286,C0087,2025-11-07,1518.1,UPI,Paid,TXN0000286
O000287,C0294,2025-04-29,11896.6,UPI,Paid,TXN0000287
O000288,C0119,2025-08-06,2249.1,Card,Paid,TXN0000288
O000289,C0208,2026-03-03,639.2,Card,Paid,TXN0000289
O000290,C0334,2026-02-18,8496.6,Card,Pending,TXN0000290
O000291,C0413,2025-04-24,949.05,UPI,Paid,TXN0000291
O000292,C0154,2025-05-25,35996.0,UPI,Paid,TXN0000292
O000293,C0035,2026-06-22,5997.6,UPI,Paid,TXN0000293
O000294,C0079,2025-10-30,2157.3,Card,Paid,TXN0000294
O000295,C0067,2026-08-11,1797.0,UPI,Paid,TXN0000295
O000296,C0343,2025-12-11,1104.15,Card,Paid,TXN0000296
O000297,C0413,2025-01-01,1018.3,UPI,Paid,TXN0000297
O000298,C0034,2025-05-27,1259.1,UPI,Paid,TXN0000298
O000299,C0097,2025-10-14,2374.05,Card,Paid,TXN0000299
O000300,C0169,2025-02-22,2518.2,UPI,Paid,TXN0000300
O000301,C0169,2025-10-31,2878.2,Card,Paid,TXN0000301
O000302,C0151,2025-03-10,3908.3,UPI,Paid,TXN0000302
O000303,C0071,2025-12-27,14398.4,UPI,Paid,TXN0000303
O000304,C0003,2025-08-08,1799.1,COD,Paid,TXN0000304
O000305,C0314,2026-07-29,6116.6,UPI,Paid,TXN0000305
O000306,C0032,2026-08-08,21597.6,Card,Paid,TXN0000306
O000307,C0287,2025-06-10,2396.0,COD,Paid,TXN0000307
O000308,C0082,2025-03-30,799.0,UPI,Failed,TXN0000308
O000309,C0043,2026-08-08,3058.3,COD,Paid,TXN0000309
O000310,C0391,2026-08-12,4797.0,UPI,Paid,TXN0000310
O000311,C0105,2025-06-08,26997.0,Card,Paid,TXN0000311
O000312,C0001,2026-05-04,7996.0,Card,Paid,TXN0000312
O000313,C0061,2025-11-20,1709.05,COD,Failed,TXN0000313
O000314,C0270,2026-01-16,999.0,Card,Paid,TXN0000314
O000315,C0180,2025-04-12,1234.05,Card,Paid,TXN0000315
O000316,C0224,2026-05-09,21597.6,Card,Paid,TXN0000316
O000317,C0006,2025-01-19,5756.4,UPI,Pending,TXN0000317
O000318,C0103,2026-03-30,6747.3,Card,Paid,TXN0000318
O000319,C0010,2026-04-27,5997.0,UPI,Paid,TXN0000319
O000320,C0071,2026-02-01,3238.2,Card,Paid,TXN0000320
O000321,C0090,2025-10-06,6476.4,Card,Paid,TXN0000321
O000322,C0226,2025-12-31,2338.2,COD,Paid,TXN0000322
O000323,C0158,2025-11-27,1799.0,Card,Paid,TXN0000323
O000324,C0228,2025-12-10,3987.15,COD,Paid,TXN0000324
O000325,C0405,2026-03-31,11896.6,UPI,Paid,TXN0000325
O000326,C0126,2025-03-06,1259.1,UPI,Paid,TXN0000326
O000327,C0444,2025-03-17,6476.4,Card,Failed,TXN0000327
O000328,C0209,2025-05-23,5397.3,Card,Paid,TXN0000328
O000329,C0097,2026-04-18,34196.2,Card,Paid,TXN0000329
O000330,C0074,2026-02-21,1359.15,COD,Paid,TXN0000330
O000331,C0115,2025-11-01,4998.0,UPI,Paid,TXN0000331
O000332,C0191,2026-05-12,24297.3,Card,Paid,TXN0000332
O000333,C0495,2025-10-18,1598.4,UPI,Paid,TXN0000333
O000334,C0170,2025-04-12,22947.45,UPI,Paid,TXN0000334
O000335,C0307,2025-09-24,8549.05,UPI,Pending,TXN0000335
O000336,C0448,2025-01-03,4557.15,COD,Paid,TXN0000336
O000337,C0204,2025-03-26,2338.2,Card,Paid,TXN0000337
O000338,C0056,2025-11-24,4587.45,UPI,Paid,TXN0000338
O000339,C0208,2026-03-26,1169.1,Card,Paid,TXN0000339
O000340,C0041,2026-03-30,2697.3,UPI,Paid,TXN0000340
O000341,C0032,2025-08-09,4598.0,COD,Paid,TXN0000341
O000342,C0015,2025-06-03,2249.1,Card,Paid,TXN0000342
O000343,C0062,2025-01-12,2518.2,UPI,Paid,TXN0000343
O000344,C0155,2025-05-13,5997.6,Net Banking,Pending,TXN0000344
O000345,C0284,2025-10-31,3036.2,UPI,Paid,TXN0000345
O000346,C0209,2025-10-20,3058.3,Card,Paid,TXN0000346
O000347,C0320,2025-10-27,2277.15,Card,Paid,TXN0000347
O000348,C0494,2025-02-12,2876.4,UPI,Paid,TXN0000348
O000349,C0187,2025-12-09,8496.6,Card,Paid,TXN0000349
O000350,C0498,2025-11-22,3499.0,UPI,Paid,TXN0000350
O000351,C0442,2026-05-13,5316.2,COD,Paid,TXN0000351
O000352,C0130,2025-12-30,1698.3,UPI,Failed,TXN0000352
O000353,C0127,2026-03-03,3238.2,UPI,Pending,TXN0000353
O000354,C0292,2025-01-21,7996.0,Card,Paid,TXN0000354
O000355,C0114,2026-02-11,2847.15,UPI,Paid,TXN0000355
O000356,C0199,2025-12-02,6298.2,Card,Paid,TXN0000356
O000357,C0013,2025-04-27,2238.4,COD,Paid,TXN0000357
O000358,C0271,2025-05-04,599.0,Card,Pending,TXN0000358
O000359,C0089,2026-02-03,4077.45,UPI,Paid,TXN0000359
O000360,C0215,2025-02-20,13996.0,Card,Paid,TXN0000360
O000361,C0444,2025-11-20,2997.0,Net Banking,Paid,TXN0000361
O000362,C0278,2025-05-21,1799.0,UPI,Paid,TXN0000362
O000363,C0447,2026-04-15,1954.15,Card,Paid,TXN0000363
O000364,C0474,2025-11-30,5397.0,UPI,Paid,TXN0000364
O000365,C0481,2026-01-08,1189.15,COD,Paid,TXN0000365
O000366,C0203,2026-07-18,2184.05,Card,Paid,TXN0000366
O000367,C0074,2026-05-09,1039.2,COD,Paid,TXN0000367
O000368,C0025,2026-06-23,3567.45,Net Banking,Paid,TXN0000368
O000369,C0101,2025-06-05,1259.1,UPI,Paid,TXN0000369
O000370,C0176,2025-10-18,2716.6,UPI,Paid,TXN0000370
O000371,C0427,2025-05-24,12596.4,UPI,Paid,TXN0000371
O000372,C0117,2025-04-16,3058.3,UPI,Paid,TXN0000372
O000373,C0166,2026-02-24,2276.2,Card,Paid,TXN0000373
O000374,C0041,2025-01-02,1598.0,COD,Paid,TXN0000374
O000375,C0429,2026-08-12,2697.3,UPI,Paid,TXN0000375
O000376,C0344,2025-03-31,1519.05,Card,Paid,TXN0000376
O000377,C0424,2025-12-11,9496.2,COD,Paid,TXN0000377
O000378,C0366,2025-12-16,16198.2,UPI,Paid,TXN0000378
O000379,C0120,2026-04-04,4557.15,UPI,Paid,TXN0000379
O000380,C0097,2025-09-20,4498.2,Card,Paid,TXN0000380
O000381,C0145,2025-12-17,1299.0,Card,Paid,TXN0000381
O000382,C0216,2025-04-18,3196.8,Net Banking,Paid,TXN0000382
O000383,C0229,2026-08-09,4317.6,UPI,Paid,TXN0000383
O000384,C0313,2025-02-08,3198.4,COD,Paid,TXN0000384
O000385,C0130,2025-06-08,3987.15,Card,Paid,TXN0000385
O000386,C0352,2026-08-06,1438.2,UPI,Paid,TXN0000386
O000387,C0377,2025-11-08,958.4,UPI,Paid,TXN0000387
O000388,C0318,2025-08-29,1279.2,UPI,Paid,TXN0000388
O000389,C0472,2026-03-21,2124.15,UPI,Paid,TXN0000389
O000390,C0137,2025-10-25,3798.1,UPI,Paid,TXN0000390
O000391,C0324,2025-02-05,5756.4,Card,Paid,TXN0000391
O000392,C0337,2025-03-25,2547.45,Card,Paid,TXN0000392
O000393,C0273,2026-03-28,5127.15,Card,Paid,TXN0000393
O000394,C0117,2026-01-20,2069.1,UPI,Failed,TXN0000394
O000395,C0306,2025-06-21,5436.6,Card,Paid,TXN0000395
O000396,C0368,2026-01-11,2878.2,UPI,Paid,TXN0000396
O000397,C0094,2025-12-28,1709.05,COD,Paid,TXN0000397
O000398,C0168,2026-07-13,1078.2,COD,Paid,TXN0000398
O000399,C0442,2025-05-21,1278.4,COD,Pending,TXN0000399
O000400,C0203,2025-04-28,539.1,Card,Paid,TXN0000400
O000401,C0341,2025-10-04,4416.6,UPI,Paid,TXN0000401
O000402,C0149,2025-08-08,1617.3,UPI,Paid,TXN0000402
