ticket_id,customer_id,ticket_date,issue_type,priority,resolution_hours,status
T00085,C0002,2025-04-29,Payment Failure,High,40.5,Resolved
T00086,C0217,2026-04-16,Refund,Medium,24.9,Resolved
T00087,C0025,2025-11-24,Refund,High,27.3,Resolved
T00088,C0257,2025-01-21,Product Query,High,22.6,Resolved
T00089,C0223,2025-04-07,Refund,High,15.6,Resolved
T00090,C0453,2026-05-28,Wrong Product,High,16.2,Resolved
T00091,C0424,2025-12-16,Product Query,Low,23.1,Resolved
T00092,C0324,2025-05-12,Wrong Product,High,12.5,Resolved
T00093,C0499,2026-06-30,Product Query,Low,8.7,Resolved
T00094,C0069,2025-02-01,Late Delivery,Low,13.4,Resolved
T00095,C0197,2025-09-16,Product Query,Low,6.1,Resolved
T00096,C0272,2026-04-21,Late Delivery,Low,9.8,Resolved
T00097,C0182,2025-02-02,Product Query,Medium,35.9,Open
T00098,C0447,2026-01-23,Late Delivery,Medium,15.4,Resolved
T00099,C0018,2026-07-15,Wrong Product,Low,22.5,Escalated
T00100,C0107,2026-04-01,Product Query,Medium,25.0,Resolved
T00101,C0017,2025-05-24,Payment Failure,Medium,18.6,Resolved
T00102,C0125,2025-08-12,Product Query,Medium,32.3,Resolved
T00103,C0483,2025-08-05,Late Delivery,Low,11.2,Resolved
T00104,C0082,2025-06-05,Damaged Product,Low,23.2,Resolved
T00105,C0004,2026-06-04,Wrong Product,Low,7.8,Open
T00106,C0115,2025-02-05,Payment Failure,Low,1.6,Resolved
T00107,C0351,2025-01-09,Damaged Product,Medium,10.7,Resolved
T00108,C0351,2025-02-09,Damaged Product,Medium,16.2,Open
T00109,C0137,2026-04-14,Wrong Product,Low,8.3,Resolved
T00110,C0287,2025-06-28,Product Query,Medium,48.2,Open
T00111,C0389,2026-05-16,Refund,Medium,16.7,Open
T00112,C0228,2026-01-08,Payment Failure,High,28.0,Resolved
T00113,C0016,2025-03-09,Product Query,Low,41.7,Resolved
T00114,C0298,2026-02-28,Wrong Product,High,18.8,Resolved
T00115,C0425,2026-05-30,Refund,Medium,11.2,Resolved
T00116,C0464,2025-12-30,Wrong Product,Low,7.1,Resolved
T00117,C0212,2026-03-27,Wrong Product,High,4.3,Resolved
T00118,C0246,2026-05-31,Damaged Product,Medium,29.7,Resolved
T00119,C0286,2025-11-25,Product Query,Medium,32.0,Open
T00120,C0282,2026-01-05,Wrong Product,Medium,42.8,Resolved
T00121,C0177,2026-01-22,Product Query,Medium,38.0,Resolved
T00122,C0031,2026-07-01,Refund,Low,51.7,Resolved
T00123,C0050,2025-04-24,Damaged Product,Low,32.2,Resolved
T00124,C0143,2026-07-25,Refund,High,21.1,Resolved
T00125,C0052,2025-02-07,Refund,High,12.9,Resolved
T00126,C0233,2026-06-29,Damaged Product,Low,17.1,Resolved
T00127,C0166,2026-01-12,Product Query,Medium,18.6,Resolved
T00128,C0038,2026-02-03,Refund,Medium,47.0,Open
T00129,C0491,2025-07-22,Late Delivery,Low,38.8,Resolved
T00130,C0444,2025-07-21,Product Query,Medium,9.5,Resolved
T00131,C0020,2025-04-10,Wrong Product,Medium,23.3,Escalated
T00132,C0099,2026-02-02,Damaged Product,Medium,28.4,Open
T00133,C0215,2026-03-26,Damaged Product,High,26.4,Resolved
T00134,C0044,2025-04-28,Product Query,Low,13.9,Resolved
T00135,C0111,2026-02-25,Late Delivery,Medium,17.9,Resolved
T00136,C0487,2025-08-31,Late Delivery,Medium,34.7,Resolved
T00137,C0089,2026-06-25,Late Delivery,Medium,14.5,Resolved
T00138,C0319,2025-08-15,Late Delivery,Low,8.2,Resolved
T00139,C0118,2026-05-16,Payment Failure,Medium,28.0,Resolved
T00140,C0434,2025-08-01,Damaged Product,High,17.0,Resolved
T00141,C0406,2025-04-23,Refund,Low,37.3,Resolved
T00142,C0239,2026-01-08,Damaged Product,Medium,19.1,Resolved
T00143,C0072,2025-10-26,Damaged Product,High,0.8,Resolved
T00144,C0310,2025-01-19,Damaged Product,Low,22.4,Resolved
T00145,C0393,2025-01-11,Late Delivery,High,24.2,Escalated
T00146,C0399,2025-01-08,Late Delivery,Low,38.7,Resolved
T00147,C0304,2025-06-02,Payment Failure,Low,10.2,Resolved
T00148,C0404,2026-07-04,Product Query,Low,12.8,Resolved
T00149,C0163,2025-05-15,Damaged Product,Low,10.4,Resolved
T00150,C0251,2026-01-08,Wrong Product,Low,36.9,Resolved
T00151,C0357,2026-04-06,Product Query,Medium,7.3,Resolved
T00152,C0195,2025-08-23,Payment Failure,Low,28.7,Resolved
T00153,C0060,2025-09-12,Late Delivery,High,9.7,Resolved
T00154,C0098,2026-08-09,Damaged Product,Medium,18.1,Open
T00155,C0418,2025-11-24,Late Delivery,Medium,4.6,Resolved
T00156,C0356,2025-12-28,Product Query,Medium,27.4,Resolved
T00157,C0355,2026-01-09,Refund,Medium,16.3,Resolved
T00158,C0073,2025-07-28,Late Delivery,Medium,30.7,Resolved
T00159,C0222,2025-09-24,Late Delivery,Low,27.0,Resolved
T00160,C0119,2026-07-08,Payment Failure,High,13.3,Resolved
T00161,C0182,2026-05-21,Refund,Medium,10.0,Resolved
T00162,C0384,2026-07-18,Product Query,Low,19.2,Resolved
T00163,C0218,2026-02-25,Wrong Product,Medium,12.0,Resolved
T00164,C0256,2025-11-04,Wrong Product,Medium,56.9,Resolved
T00165,C0396,2025-05-17,Wrong Product,Low,18.7,Resolved
T00166,C0088,2026-02-23,Damaged Product,High,40.4,Resolved
T00167,C0361,2025-07-14,Wrong Product,Medium,22.7,Open
T00168,C0275,2025-04-05,Damaged Product,Medium,16.1,Resolved
T00169,C0492,2026-05-05,Product Query,Medium,9.5,Resolved
T00170,C0336,2025-09-15,Product Query,High,24.0,Resolved
T00171,C0026,2025-01-25,Late Delivery,Low,8.2,Resolved
T00172,C0407,2025-08-20,Wrong Product,Medium,20.6,Resolved
T00173,C0121,2025-11-28,Payment Failure,Low,24.5,Resolved
T00174,C0289,2025-08-09,Product Query,Medium,15.6,Resolved
T00175,C0362,2025-10-24,Refund,Low,30.7,Resolved
T00176,C0441,2025-07-22,Refund,Low,12.4,Escalated
T00177,C0030,2025-12-09,Product Query,High,33.6,Resolved
T00178,C0407,2025-07-24,Late Delivery,Medium,40.1,Resolved
T00179,C0202,2025-03-18,Refund,Low,23.5,Resolved
T00180,C0382,2026-07-04,Refund,Medium,30.3,Resolved
T00181,C0036,2025-02-11,Late Delivery,Medium,26.6,Resolved
T00182,C0125,2026-03-31,Late Delivery,Low,23.4,Resolved
T00183,C0223,2025-07-01,Late Delivery,Low,23.4,Resolved
T00184,C0235,2025-07-14,Payment Failure,High,7.3,Resolved
T00185,C0124,2026-08-13,Late Delivery,Medium,35.6,Resolved
T00186,C0470,2026-01-23,Late Delivery,Medium,17.8,Resolved
T00187,C0171,2025-05-21,Late Delivery,High,19.3,Resolved
T00188,C0491,2025-01-27,Product Query,Medium,17.1,Resolved
T00189,C0486,2025-11-11,Wrong Product,Low,9.8,Resolved
T00190,C0495,2025-11-17,Product Query,Low,15.7,Resolved
T00191,C0450,2026-03-24,Wrong Product,Medium,41.7,Resolved
T00192,C0181,2025-10-20,Payment Failure,High,10.6,Resolved
T00193,C0215,2025-08-24,Payment Failure,Low,1.6,Resolved
T00194,C0118,2026-04-02,Refund,Low,4.2,Resolved
T00195,C0227,2025-03-08,Product Query,High,14.0,Resolved
T00196,C0379,2025-06-25,Wrong Product,Low,3.6,Escalated
T00197,C0444,2026-05-25,Payment Failure,Medium,10.2,Resolved
T00198,C0037,2025-04-01,Payment Failure,Low,37.5,Resolved
T00199,C0317,2025-06-15,Product Query,Medium,49.0,Resolved
T00200,C0096,2026-03-14,Refund,Medium,4.9,Resolved
T00201,C0120,2025-02-20,Late Delivery,Low,16.8,Resolved
T00202,C0491,2025-09-23,Damaged Product,Medium,14.8,Resolved
T00203,C0437,2026-06-05,Refund,Medium,31.5,Resolved
T00204,C0012,2025-03-28,Damaged Product,Medium,11.6,Resolved
T00205,C0122,2025-02-21,Refund,Medium,31.1,Resolved
T00206,C0035,2025-06-28,Refund,Medium,49.3,Open
T00207,C0489,2025-10-05,Late Delivery,Medium,72.0,Resolved
T00208,C0251,2025-08-27,Payment Failure,Medium,3.1,Resolved
T00209,C0067,2026-08-08,Wrong Product,Medium,21.7,Resolved
T00210,C0482,2025-12-05,Refund,Medium,19.6,Open
T00211,C0038,2025-03-13,Late Delivery,Medium,37.4,Resolved
T00212,C0280,2026-01-09,Damaged Product,Low,42.2,Resolved
T00213,C0230,2026-08-03,Product Query,Low,18.6,Resolved
T00214,C0337,2026-06-01,Product Query,Low,52.8,Open
T00215,C0168,2025-08-26,Payment Failure,High,16.7,Resolved
T00216,C0449,2026-04-11,Product Query,Medium,9.2,Resolved
T00217,C0441,2025-05-01,Refund,Medium,31.3,Resolved
T00218,C0328,2026-02-17,Damaged Product,Low,6.9,Resolved
T00219,C0246,2026-07-24,Refund,Low,30.1,Resolved
T00220,C0079,2025-02-12,Product Query,High,31.0,Resolved
T00221,C0114,2026-05-19,Wrong Product,High,37.4,Resolved
T00222,C0301,2025-07-16,Product Query,Low,16.8,Resolved
T00223,C0217,2025-03-13,Wrong Product,Medium,35.1,Resolved
T00224,C0200,2025-04-01,Product Query,Medium,2.5,Resolved
T00225,C0381,2026-07-03,Payment Failure,Low,25.9,Resolved
T00226,C0500,2026-05-06,Damaged Product,Medium,21.3,Resolved
T00227,C0352,2026-01-18,Wrong Product,Medium,40.8,Resolved
T00228,C0242,2026-04-11,Late Delivery,Medium,71.6,Resolved
T00229,C0013,2025-06-03,Payment Failure,Low,57.2,Escalated
T00230,C0366,2025-06-19,Refund,Low,5.0,Open
T00231,C0207,2025-09-29,Product Query,Low,19.7,Resolved
T00232,C0262,2025-04-20,Damaged Product,Low,12.2,Resolved
T00233,C0097,2025-05-31,Damaged Product,Medium,8.4,Resolved
T00234,C0071,2026-03-07,Product Query,Low,25.5,Resolved
T00235,C0481,2026-03-27,Late Delivery,Medium,10.7,Resolved
T00236,C0303,2025-01-23,Wrong Product,Medium,22.4,Resolved
T00237,C0349,2026-01-02,Product Query,Medium,15.2,Resolved
T00238,C0230,2025-08-27,Damaged Product,Medium,25.9,Resolved
T00239,C0357,2026-03-10,Late Delivery,Medium,12.0,Resolved
T00240,C0300,2025-05-07,Late Delivery,Low,36.5,Resolved
T00241,C0032,2026-06-25,Refund,Low,16.1,Open
T00242,C0250,2025-07-17,Late Delivery,Low,10.5,Resolved
T00243,C0254,2026-04-27,Payment Failure,Low,18.2,Resolved
T00244,C0259,2025-06-28,Damaged Product,Low,28.0,Resolved
T00245,C0182,2026-06-07,Payment Failure,Low,11.7,Resolved
T00246,C0340,2026-03-13,Late Delivery,Medium,19.1,Open
T00247,C0462,2025-11-10,Late Delivery,High,17.4,Resolved
T00248,C0476,2025-01-19,Payment Failure,Low,8.3,Resolved
T00249,C0166,2025-06-09,Refund,High,35.4,Resolved
T00250,C0004,2025-05-02,Late Delivery,Low,41.7,Resolved
T00251,C0463,2025-03-13,Payment Failure,Medium,28.0,Resolved
T00252,C0145,2025-02-24,Payment Failure,Medium,47.1,Resolved
T00253,C0165,2026-04-05,Damaged Product,High,14.2,Resolved
T00254,C0344,2025-06-18,Refund,Low,15.1,Open
T00255,C0486,2026-08-05,Wrong Product,Low,27.4,Resolved
T00256,C0362,2025-05-29,Payment Failure,Low,10.7,Resolved
T00257,C0105,2025-01-26,Damaged Product,Medium,3.8,Open
T00258,C0036,2025-09-05,Wrong Product,High,40.5,Resolved
T00259,C0314,2025-08-15,Damaged Product,Medium,11.5,Resolved
T00260,C0169,2026-04-29,Damaged Product,Medium,39.6,Resolved
T00261,C0008,2025-01-10,Product Query,Medium,30.4,Resolved
T00262,C0451,2025-04-05,Refund,High,27.3,Open
T00263,C0414,2025-05-01,Late Delivery,Medium,33.9,Resolved
T00264,C0086,2025-05-06,Refund,Low,13.7,Resolved
T00265,C0436,2026-07-03,Wrong Product,High,39.8,Resolved
T00266,C0097,2025-03-10,Product Query,Low,53.0,Resolved
T00267,C0409,2025-10-24,Refund,Low,39.3,Resolved
T00268,C0436,2026-05-16,Late Delivery,Low,8.6,Open
T00269,C0315,2025-02-14,Refund,Medium,23.5,Escalated
T00270,C0030,2026-01-17,Refund,Medium,6.8,Resolved
T00271,C0101,2025-01-27,Refund,Low,30.8,Resolved
T00272,C0067,2026-05-12,Payment Failure,Medium,15.3,Resolved
T00273,C0388,2025-05-16,Payment Failure,Medium,3.8,Resolved
T00274,C0349,2025-02-18,Refund,High,14.1,Resolved
T00275,C0441,2026-05-22,Late Delivery,Medium,20.1,Resolved
T00276,C0063,2025-05-01,Late Delivery,Medium,11.2,Resolved
T00277,C0032,2025-08-05,Late Delivery,Medium,40.2,Open
T00278,C0087,2026-06-10,Late Delivery,Low,12.4,Resolved
T00279,C0211,2026-07-28,Product Query,Low,10.8,Resolved
T00280,C0463,2025-02-12,Product Query,Medium,3.4,Resolved
T00281,C0051,2025-04-06,Damaged Product,Low,34.5,Open
T00282,C0063,2025-01-27,Refund,Low,21.6,Resolved
T00283,C0080,2025-08-30,Refund,Medium,37.5,Resolved
T00284,C0343,2026-05-02,Damaged Product,Low,22.4,Resolved
T00285,C0232,2025-08-28,Late Delivery,Low,46.4,Resolved
T00286,C0366,2025-10-31,Wrong Product,Medium,29.6,Resolved
T00287,C0101,2025-03-08,Wrong Product,Medium,27.3,Resolved
T00288,C0129,2025-10-08,Damaged Product,High,19.7,Resolved
T00289,C0019,2025-07-11,Wrong Product,Medium,2.9,Resolved
T00290,C0357,2025-04-29,Payment Failure,Medium,11.8,Resolved
T00291,C0419,2025-06-01,Refund,Medium,9.9,Resolved
T00292,C0447,2026-01-27,Wrong Product,Low,19.4,Open
T00293,C0094,2025-08-19,Product Query,Low,13.9,Resolved
T00294,C0081,2025-12-17,Product Query,Medium,36.7,Resolved
T00295,C0103,2026-07-25,Payment Failure,Medium,33.9,Resolved
T00296,C0369,2026-06-13,Refund,Medium,16.2,Resolved
T00297,C0154,2025-06-20,Payment Failure,Medium,21.6,Resolved
T00298,C0269,2025-05-12,Refund,Low,11.3,Resolved
T00299,C0118,2025-12-23,Refund,Medium,29.7,Open
T00300,C0342,2025-02-11,Wrong Product,Medium,27.5,Resolved
T00301,C0494,2025-11-01,Product Query,Medium,55.4,Resolved
T00302,C0279,2025-01-06,Damaged Product,Medium,18.8,Open
T00303,C0492,2025-11-25,Wrong Product,High,44.5,Resolved
T00304,C0363,2025-06-19,Late Delivery,High,7.6,Resolved
T00305,C0225,2025-12-04,Payment Failure,High,21.4,Open
T00306,C0475,2025-03-10,Late Delivery,Low,15.9,Open
T00307,C0419,2026-06-23,Refund,Low,22.6,Resolved
T00308,C0268,2026-05-22,Wrong Product,Low,25.0,Resolved
T00309,C0137,2026-05-01,Late Delivery,Low,5.7,Resolved
T00310,C0226,2026-03-19,Late Delivery,Medium,36.7,Open
T00311,C0334,2025-02-20,Product Query,Medium,36.7,Resolved
T00312,C0229,2025-05-29,Late Delivery,Medium,17.4,Resolved
T00313,C0323,2026-08-10,Product Query,High,18.1,Resolved
T00314,C0108,2025-04-02,Product Query,High,25.0,Resolved
T00315,C0300,2026-01-03,Refund,Low,35.6,Resolved
T00316,C0445,2026-08-03,Product Query,High,24.6,Resolved
T00317,C0405,2025-03-17,Refund,Medium,33.5,Resolved
T00318,C0007,2025-03-27,Product Query,Medium,10.2,Open
T00319,C0128,2025-08-15,Product Query,Medium,45.7,Resolved
T00320,C0353,2025-12-29,Refund,Low,13.8,Resolved
T00321,C0483,2026-07-22,Late Delivery,High,27.7,Open
T00322,C0267,2025-01-24,Payment Failure,Medium,19.8,Resolved
T00323,C0173,2025-01-28,Wrong Product,High,21.8,Resolved
T00324,C0416,2025-05-01,Wrong Product,High,20.5,Open
T00325,C0214,2026-05-05,Refund,Medium,16.9,Resolved
T00326,C0247,2025-12-11,Late Delivery,Low,47.9,Open
T00327,C0106,2025-01-31,Payment Failure,Low,9.2,Resolved
T00328,C0083,2025-08-15,Damaged Product,Low,15.7,Resolved
T00329,C0292,2025-09-07,Refund,Low,37.3,Resolved
T00330,C0374,2025-02-19,Damaged Product,High,37.1,Resolved
T00331,C0421,2026-01-24,Wrong Product,Low,23.3,Escalated
T00332,C0203,2025-10-15,Wrong Product,High,10.4,Resolved
T00333,C0041,2026-04-20,Payment Failure,Medium,23.2,Resolved
T00334,C0205,2025-01-06,Payment Failure,Low,10.7,Resolved
T00335,C0348,2026-02-16,Damaged Product,Medium,8.2,Resolved
T00336,C0049,2025-11-20,Wrong Product,Medium,21.3,Resolved
T00337,C0143,2026-02-03,Payment Failure,Medium,4.9,Resolved
T00338,C0141,2025-10-09,Payment Failure,Medium,44.1,Escalated
T00339,C0053,2025-07-10,Wrong Product,Low,12.4,Resolved
T00340,C0107,2026-08-08,Wrong Product,Medium,16.9,Resolved
T00341,C0033,2026-05-15,Late Delivery,Medium,11.9,Resolved
T00342,C0200,2026-08-03,Product Query,Medium,7.5,Escalated
T00343,C0119,2026-03-10,Payment Failure,High,1.4,Resolved
T00344,C0288,2025-03-04,Damaged Product,Low,9.1,Resolved
T00345,C0229,2026-03-29,Refund,Low,45.5,Resolved
T00346,C0118,2026-05-08,Refund,Medium,40.9,Resolved
T00347,C0176,2026-03-18,Wrong Product,High,4.4,Resolved
T00348,C0452,2025-11-03,Product Query,Medium,44.1,Resolved
T00349,C0185,2025-05-06,Damaged Product,Low,22.6,Resolved
T00350,C0318,2025-09-22,Late Delivery,Low,7.2,Resolved
T00351,C0499,2025-01-07,Payment Failure,Low,29.6,Resolved
T00352,C0338,2026-02-17,Late Delivery,Low,17.9,Resolved
T00353,C0215,2025-07-25,Damaged Product,Medium,13.2,Resolved
T00354,C0221,2025-06-28,Late Delivery,Medium,14.0,Resolved
T00355,C0130,2026-04-13,Wrong Product,Low,28.8,Resolved
T00356,C0333,2026-05-11,Refund,Low,31.3,Resolved
T00357,C0272,2026-03-19,Wrong Product,Medium,10.4,Resolved
T00358,C0246,2025-08-16,Payment Failure,High,25.6,Resolved
T00359,C0123,2025-05-26,Wrong Product,Medium,23.9,Resolved
T00360,C0008,2026-07-24,Damaged Product,High,0.6,Resolved
T00361,C0403,2025-10-23,Damaged Product,Medium,32.6,Escalated
T00362,C0416,2025-08-29,Payment Failure,Low,10.6,Escalated
T00363,C0067,2025-10-14,Payment Failure,Low,17.9,Open
T00364,C0115,2025-01-26,Refund,Medium,23.2,Resolved
T00365,C0369,2026-03-28,Late Delivery,Medium,32.0,Resolved
T00366,C0288,2025-04-16,Refund,Medium,41.4,Open
T00367,C0105,2025-08-28,Wrong Product,Medium,30.6,Resolved
T00368,C0469,2026-02-22,Late Delivery,Medium,26.4,Resolved
T00369,C0025,2025-11-28,Payment Failure,Low,21.5,Resolved
T00370,C0053,2025-02-11,Damaged Product,High,14.5,Resolved
T00371,C0247,2026-07-10,Wrong Product,Medium,39.8,Open
T00372,C0337,2025-02-04,Refund,Medium,10.2,Resolved
T00373,C0281,2025-12-13,Product Query,Medium,30.9,Resolved
T00374,C0033,2026-01-19,Product Query,Medium,28.9,Resolved
T00375,C0287,2026-05-28,Payment Failure,Low,20.8,Resolved
T00376,C0036,2025-10-15,Late Delivery,Medium,40.1,Resolved
T00377,C0343,2025-02-02,Product Query,Low,22.9,Resolved
T00378,C0379,2025-04-05,Late Delivery,Medium,21.7,Resolved
T00379,C0239,2025-07-24,Damaged Product,Low,25.8,Resolved
T00380,C0492,2025-01-30,Payment Failure,Low,34.7,Resolved
T00381,C0217,2025-09-23,Payment Failure,Low,2.2,Escalated
T00382,C0177,2025-01-23,Wrong Product,Medium,58.7,Resolved
T00383,C0044,2025-02-08,Wrong Product,High,32.1,Resolved
T00384,C0304,2025-06-22,Late Delivery,Low,23.4,Resolved
T00385,C0158,2026-02-17,Product Query,Medium,3.1,Resolved
T00386,C0269,2026-02-18,Product Query,Low,45.2,Resolved
T00387,C0171,2025-07-28,Refund,Medium,14.7,Resolved
T00388,C0495,2025-01-22,Late Delivery,Low,7.6,Resolved
T00389,C0221,2025-01-05,Product Query,Low,31.8,Resolved
T00390,C0400,2025-08-02,Wrong Product,Low,11.7,Resolved
T00391,C0230,2025-05-19,Wrong Product,High,0.8,Resolved
T00392,C0091,2025-11-13,Wrong Product,Medium,38.1,Resolved
T00393,C0410,2026-07-30,Late Delivery,Low,5.1,Resolved
T00394,C0459,2025-06-05,Payment Failure,Low,18.9,Resolved
T00395,C0431,2026-02-28,Refund,Low,23.5,Resolved
T00396,C0421,2026-05-15,Refund,Low,20.5,Resolved
T00397,C0131,2025-04-01,Wrong Product,Medium,11.1,Resolved
T00398,C0410,2025-02-11,Damaged Product,Medium,20.3,Resolved
T00399,C0226,2025-10-22,Late Delivery,Medium,3.5,Resolved
T00400,C0225,2025-12-03,Product Query,Low,23.3,Resolved
T00401,C0143,2025-01-01,Product Query,Medium,14.8,Open
T00402,C0066,2025-04-19,Payment Failure,Low,28.2,Resolved
T00403,C0028,2025-05-05,Wrong Product,Low,23.9,Resolved
T00404,C0125,2025-03-05,Damaged Product,Medium,5.7,Resolved
T00405,C0212,2025-07-25,Wrong Product,Low,16.3,Resolved
T00406,C0422,2026-02-19,Damaged Product,Medium,7.7,Resolved
T00407,C0428,2025-09-01,Refund,High,20.6,Open
T00408,C0437,2026-08-13,Damaged Product,Low,14.9,Resolved
T00409,C0080,2025-08-04,Refund,High,30.4,Resolved
T00410,C0238,2026-06-12,Refund,Low,21.4,Resolved
T00411,C0132,2026-07-20,Late Delivery,Low,14.9,Resolved
T00412,C0328,2026-01-15,Damaged Product,Medium,20.9,Resolved
T00413,C0300,2025-03-20,Payment Failure,Medium,12.6,Resolved
T00414,C0119,2026-02-19,Payment Failure,Low,25.3,Resolved
T00415,C0046,2026-03-29,Damaged Product,Medium,21.5,Resolved
T00416,C0084,2025-05-29,Late Delivery,High,2.2,Escalated
T00417,C0282,2025-02-07,Payment Failure,Low,73.0,Resolved
T00418,C0352,2025-06-06,Wrong Product,High,18.5,Resolved
T00419,C0013,2025-11-29,Payment Failure,Medium,13.6,Resolved
